Time (hours),Mean accumulation,Standard deviation
0.0,0.0,0.0
0.07200720072007201,0.0,0.0
0.14401440144014402,0.0,0.0
0.21602160216021604,0.0,0.0
0.28802880288028804,0.0,0.0
0.36003600360036003,0.0,0.0
0.4320432043204321,0.0,0.0
0.504050405040504,0.0,0.0
0.5760576057605761,0.0,0.0
0.6480648064806481,0.0,0.0
0.7200720072007201,0.0,0.0
0.7920792079207921,0.0,0.0
0.8640864086408642,0.0,0.0
0.9360936093609361,0.0,0.0
1.008100810081008,0.0,0.0
1.08010801080108,0.0,0.0
1.1521152115211521,0.0,0.0
1.2241224122412242,0.0,0.0
1.2961296129612963,0.0,0.0
1.368136813681368,0.0,0.0
1.4401440144014401,0.0,0.0
1.5121512151215122,0.0,0.0
1.5841584158415842,0.0,0.0
1.6561656165616563,0.0,0.0
1.7281728172817283,0.0,0.0
1.8001800180018002,0.0,0.0
1.8721872187218722,0.0,0.0
1.9441944194419443,0.0,0.0
2.016201620162016,0.0,0.0
2.0882088208820884,0.0,0.0
2.16021602160216,0.0,0.0
2.2322232223222325,0.0,0.0
2.3042304230423043,0.0,0.0
2.376237623762376,0.0,0.0
2.4482448244824484,0.0,0.0
2.5202520252025202,0.0,0.0
2.5922592259225925,0.0,0.0
2.6642664266426643,0.0,0.0
2.736273627362736,0.0,0.0
2.8082808280828084,0.0,0.0
2.8802880288028803,0.0,0.0
2.9522952295229525,0.0,0.0
3.0243024302430244,0.0,0.0
3.096309630963096,0.0,0.0
3.1683168316831685,0.0,0.0
3.2403240324032403,0.0,0.0
3.3123312331233126,0.0,0.0
3.3843384338433844,0.0,0.0
3.4563456345634567,0.0,0.0
3.5283528352835285,0.0,0.0
3.6003600360036003,0.0,0.0
3.6723672367236726,0.0,0.0
3.7443744374437444,0.0,0.0
3.8163816381638167,0.0,0.0
3.8883888388838885,0.0,0.0
3.9603960396039604,0.0,0.0
4.032403240324032,0.0,0.0
4.104410441044105,0.0,0.0
4.176417641764177,0.0,0.0
4.248424842484249,0.0,0.0
4.32043204320432,0.0,0.0
4.392439243924392,0.0,0.0
4.464446444644465,0.0,0.0
4.536453645364537,0.0,0.0
4.608460846084609,0.0,0.0
4.68046804680468,0.0,0.0
4.752475247524752,0.0,0.0
4.824482448244825,0.0,0.0
4.896489648964897,0.0,0.0
4.968496849684969,0.0,0.0
5.0405040504050405,0.0,0.0
5.112511251125112,0.0,0.0
5.184518451845185,0.0,0.0
5.256525652565257,0.0,0.0
5.328532853285329,0.0,0.0
5.4005400540054005,0.0,0.0
5.472547254725472,0.0,0.0
5.544554455445545,0.0,0.0
5.616561656165617,0.0,0.0
5.688568856885689,0.0,0.0
5.7605760576057605,0.0,0.0
5.832583258325832,0.0,0.0
5.904590459045905,0.0,0.0
5.976597659765977,0.0,0.0
6.048604860486049,0.0,0.0
6.120612061206121,0.0,0.0
6.192619261926192,0.0,0.0
6.264626462646265,0.0,0.0
6.336633663366337,0.0,0.0
6.408640864086409,0.0,0.0
6.480648064806481,0.0,0.0
6.552655265526552,0.0,0.0
6.624662466246625,0.0,0.0
6.696669666966697,0.0,0.0
6.768676867686769,0.0,0.0
6.840684068406841,0.0,0.0
6.912691269126913,0.0,0.0
6.984698469846985,0.0,0.0
7.056705670567057,0.0,0.0
7.128712871287129,0.0,0.0
7.200720072007201,0.0,0.0
7.272727272727273,0.0,0.0
7.344734473447345,0.0,0.0
7.416741674167417,0.0,0.0
7.488748874887489,0.0,0.0
7.560756075607561,0.0,0.0
7.632763276327633,0.0,0.0
7.704770477047705,0.0,0.0
7.776777677767777,0.0,0.0
